Lattice-Size,Runtime-Average,Runtime-STD
25,0.040830292799910239,0.001026628970369648
50,0.063913118799973745,0.001528636575409272
75,0.097681303999979721,0.001208914527718299
100,0.148375917799876328,0.008791076885807514
200,0.446628640800008747,0.003838355819913479
300,0.955285182799889276,0.007514296734844869
400,1.647167512799933231,0.009837673616283125
500,2.578285782000057313,0.027662445085289367
600,3.704043124600048031,0.088061569656639818
700,5.062896370399994517,0.011520293001632658
800,6.705019786200045573,0.061545146846317705
900,8.324839902999974228,0.018761105780677634
1000,10.414260234799893823,0.091132676944415486
