Lattice-Size,Runtime-Average,Runtime-STD
25,0.105037611799889422,0.086617503487887618
50,0.117523258599885591,0.080883655317017203
75,0.186051871799918445,0.129577451462946830
100,0.095934188600131171,0.031504958084312772
200,0.252588859599927662,0.122488890290466598
300,0.465538370799913559,0.096048840774240515
400,0.782511758600048735,0.220531227559858628
500,1.183076737800001776,0.256566502734850821
600,1.316780063399892287,0.047206055852275802
700,1.843174355000155584,0.141142654891438568
800,2.379235143800087826,0.165240234666028718
900,2.991152064200105265,0.111129560632880348
1000,3.920115255200016691,0.301488194887673033
