Lattice-Size,Runtime-Average,Runtime-STD
50,0.045880953799860437,0.000747324502309799
75,0.058159521600009610,0.001631755258868014
100,0.069780884200099536,0.000680258659609894
200,0.159832876200016460,0.000993678313386169
300,0.292760718000044995,0.001035161109159296
400,0.474064764200011257,0.002648876511321095
500,0.709827118600060203,0.005010713594637240
600,0.992389155800174172,0.013789280704214316
700,1.335262517599949295,0.026827894298746248
800,1.748257056800048392,0.012549369370769678
900,2.200137793600061009,0.019500374475956442
1000,2.728948530799971017,0.010263327883044585
