Lattice-Size,Runtime-Average,Runtime-STD
75,0.054484875999787616,0.011194640556949818
100,0.062165918399932706,0.003217844236809105
200,0.117151312199985119,0.000796907286016261
300,0.213835930600089347,0.002337130978123879
400,0.330717200200069783,0.001888046286767808
500,0.477080090800063750,0.004572902632745349
600,0.649017198600085998,0.008022513289209615
700,0.846844926399990094,0.006074329284643072
800,1.078323271200042566,0.010444068157672310
900,1.390986580199933043,0.010483242584176029
1000,1.713424102400131321,0.024629719828322759
