Lattice-Size,Runtime-Average,Runtime-STD
25,0.047478936199877350,0.001036143967343430
50,0.088655651399949423,0.000830042269240884
75,0.155302333000145149,0.002161016019186649
100,0.243292531999850320,0.002596056976656546
200,0.837857608600006687,0.001896350451606716
300,1.828384423200077435,0.005953540366505789
400,3.212224005200005283,0.028597198957741078
500,5.020054339200032523,0.035256333143137183
600,7.348547225000038097,0.037499036554856043
700,10.084986858800130349,0.073604787672763378
800,13.547728772600020619,0.174685499592247440
900,15.244595643999947043,0.179042414324059956
1000,19.316293431000122638,0.206409170766933187
