Lattice-Size,Runtime-Average,Runtime-STD
25,0.047191858291625977,0.001257090313864302
50,0.113908576965332034,0.001141922040212934
75,0.214818429946899425,0.000299112518859208
100,0.365704822540283192,0.002129231141995771
200,1.358409118652343706,0.001861647810536587
300,2.995833635330200195,0.006019255671922397
400,5.299426794052124023,0.054162224224751761
500,8.231771659851073508,0.091871556492051906
600,12.065150451660155539,0.041443041948542939
700,16.669942283630369673,0.189055920455333232
800,22.559286785125731711,0.195904382653861536
900,28.798479795455932617,0.143350741398983350
1000,36.131048059463502398,0.364616993950503510
