Lattice-Size,Runtime-Average,Runtime-STD
25,0.016539430618286131,0.000237007859859976
50,0.039697504043579100,0.000642675836192963
75,0.078492784500122065,0.000568285806937576
100,0.130428075790405273,0.000757617973608449
200,0.491967487335205067,0.002517696241534625
300,1.092025470733642534,0.001646712789136115
400,1.934663963317871049,0.011339429177622097
500,3.006890344619750799,0.001380299265801605
600,4.350501728057861506,0.026119088233644012
700,5.938537454605102184,0.016073520569333231
800,7.953396034240722834,0.034180374204267769
900,9.784951591491699574,0.073275907993263764
1000,12.023586654663086293,0.010150133185998365
