Lattice-Size,Runtime-Average,Runtime-STD
25,0.015300655364990234,0.000242688640851247
50,0.027240705490112305,0.000309732342752382
75,0.046292114257812503,0.000125017063924486
100,0.072658443450927729,0.000198314997627099
200,0.254210567474365212,0.000771957308547028
300,0.554610729217529297,0.001247526913581126
400,0.975252676010131880,0.003873035603672570
500,1.523209095001220703,0.007383503001599727
600,2.189589881896972567,0.009156924154310334
700,2.988466119766235440,0.009254637325128261
800,4.071180915832519176,0.012246015942482591
900,5.139592981338500621,0.013942675470260969
1000,6.378553056716919301,0.031448905313742725
