Lattice-Size,Runtime-Average,Runtime-STD
25,0.022423028945922852,0.000515484147693125
50,0.028083276748657227,0.000414669376449760
75,0.036352014541625975,0.001635083853216322
100,0.041757488250732423,0.000260719479918086
200,0.132439947128295904,0.016209322454448893
300,0.199210405349731445,0.030925565346495914
400,0.322956514358520519,0.035172643596128671
500,0.478756284713745095,0.047442663441593771
600,0.663751220703124978,0.061868762986361632
700,0.881058216094970703,0.119315426873901689
800,1.188113689422607422,0.018474603476474474
900,1.841150903701782138,0.459468316183975212
1000,2.000992584228515447,0.100681469174269969
