Lattice-Size,Runtime-Average,Runtime-STD
25,0.017774820327758789,0.000277281648006461
50,0.022985792160034178,0.000132049769596880
75,0.030944967269897462,0.000247391950218740
100,0.040448474884033206,0.000191679664899914
200,0.103807735443115237,0.000255371892983784
300,0.206259584426879888,0.000297629004098114
400,0.354327583312988303,0.000312986938945407
500,0.540898323059082031,0.003083825728425855
600,0.761826419830322288,0.000380211082901262
700,1.041011142730712935,0.004084356310592735
800,1.466235637664794922,0.012993763254229585
900,1.858151292800903409,0.008803649431017071
1000,2.318656826019287021,0.020517717254133927
