Lattice-Size,Runtime-Average,Runtime-STD
25,0.021094417572021483,0.000235624226698920
50,0.065243005752563477,0.000278036178455764
75,0.140437030792236323,0.000329487354737096
100,0.241767168045043945,0.001500411872553118
200,0.950121498107910134,0.003510409113986314
300,2.153316068649291815,0.011721574564111948
400,3.797192716598510653,0.013199933638287338
500,6.000279283523559215,0.015826962680682493
600,8.620793437957763317,0.009216087943644547
700,11.551145410537719371,0.190811913017359447
800,15.087740802764892933,0.027752834365146244
900,17.256559848785400391,0.154451194868701069
1000,21.514195203781127930,0.611198614824861819
