lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.409, Time: 38.618180 s
         5246196 function calls (5222027 primitive calls) in 41.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      313    0.004    0.000    0.415    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
      265    0.004    0.000    0.013    0.000 overrides.py:142(decorator)
       52    0.004    0.000    0.004    0.000 {built-in method _io.open}
     3451    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
1412/1408    0.004    0.000    0.019    0.000 cbook.py:348(process)
      106    0.004    0.000    0.294    0.003 artist.py:158(_update_set_signature_and_docstring)
      501    0.004    0.000    0.018    0.000 _linalg.py:204(_assert_finite)
    14230    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
       64    0.004    0.000    0.004    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      511    0.004    0.000    0.006    0.000 _linalg.py:148(_commonType)
     5933    0.004    0.000    0.044    0.000 __init__.py:174(search)
      501    0.004    0.000    0.006    0.000 shape_base.py:81(atleast_2d)
      515    0.004    0.000    0.007    0.000 fromnumeric.py:89(_wrapreduction_any_all)
     5286    0.004    0.000    0.008    0.000 cbook.py:1337(_to_unmasked_float_array)
     1611    0.004    0.000    0.011    0.000 copy.py:61(copy)
        1    0.004    0.004    0.004    0.004 font_manager.py:1554(_get_font)
        1    0.003    0.003    0.004    0.004 {method 'readlines' of '_io._IOBase' objects}
      412    0.003    0.000    0.004    0.000 cbook.py:1742(normalize_kwargs)
     2160    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
     65/3    0.003    0.000    2.134    0.711 text.py:358(_get_layout)
     1066    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     4927    0.003    0.000    0.005    0.000 {built-in method builtins.sorted}
       67    0.003    0.000    0.003    0.000 colors.py:1133(reversed)
        1    0.003    0.003    0.003    0.003 _cm_listed.py:1(<module>)
    33654    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
       12    0.003    0.000    0.004    0.000 backend_agg.py:93(draw_path)
      108    0.003    0.000    0.022    0.000 lines.py:287(__init__)
       44    0.003    0.000    0.008    0.000 __init__.py:355(namedtuple)
     1204    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      838    0.003    0.000    0.003    0.000 transforms.py:179(set_children)
     6563    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
      699    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
      346    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
     1295    0.003    0.000    0.003    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       98    0.003    0.000    0.009    0.000 __init__.py:1622(_substitute)
       34    0.003    0.000    2.027    0.060 __init__.py:1(<module>)
      511    0.003    0.000    0.003    0.000 _linalg.py:123(_makearray)
      602    0.003    0.000    0.015    0.000 {method 'all' of 'numpy.ndarray' objects}
    10471    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
     2786    0.002    0.000    0.003    0.000 __init__.py:100(check_in_list)
      710    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
