lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.525, Time: 33.687183 s
         4000197 function calls (3976313 primitive calls) in 36.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.004    0.000    0.008    0.000 {built-in method builtins.eval}
     1388    0.004    0.000    0.009    0.000 cbook.py:348(process)
       34    0.004    0.000    1.478    0.043 __init__.py:1(<module>)
    48/45    0.004    0.000    0.013    0.000 {built-in method _imp.exec_dynamic}
       31    0.004    0.000    0.044    0.001 __init__.py:884(_rc_params_in_file)
    329/0    0.004    0.000    0.000          {built-in method builtins.exec}
      386    0.004    0.000    0.139    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      710    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap>:304(acquire)
   392/14    0.004    0.000    1.036    0.074 <frozen importlib._bootstrap>:1349(_find_and_load)
      502    0.004    0.000    0.006    0.000 _twodim_base_impl.py:163(eye)
     5933    0.004    0.000    0.046    0.000 __init__.py:174(search)
      699    0.004    0.000    0.011    0.000 functools.py:35(update_wrapper)
      178    0.004    0.000    0.006    0.000 fromnumeric.py:41(_wrapit)
     1611    0.004    0.000    0.011    0.000 copy.py:61(copy)
     5286    0.004    0.000    0.012    0.000 cbook.py:1337(_to_unmasked_float_array)
      884    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1148    0.003    0.000    0.005    0.000 cbook.py:2010(_setattr_cm)
     6563    0.003    0.000    0.005    0.000 {built-in method builtins.setattr}
        2    0.003    0.002    0.003    0.002 {built-in method matplotlib.backends._tkagg.blit}
     65/3    0.003    0.000    1.628    0.543 text.py:358(_get_layout)
    33648    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      412    0.003    0.000    0.004    0.000 cbook.py:1742(normalize_kwargs)
      501    0.003    0.000    0.016    0.000 fromnumeric.py:2349(sum)
     1521    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
     1670    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
      108    0.003    0.000    0.023    0.000 lines.py:287(__init__)
     1144    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      596    0.003    0.000    0.007    0.000 enum.py:383(__setitem__)
      242    0.003    0.000    0.004    0.000 transforms.py:2040(scale)
     4908    0.003    0.000    0.004    0.000 {built-in method builtins.sorted}
   336/84    0.003    0.000    0.023    0.000 copy.py:217(_deepcopy_dict)
       36    0.003    0.000    0.057    0.002 axis.py:59(__init__)
     1035    0.003    0.000    0.013    0.000 copy.py:247(_reconstruct)
        1    0.003    0.003    0.010    0.010 lebwohl_lasher.py:150(save_data)
      505    0.003    0.000    0.004    0.000 _linalg.py:123(_makearray)
       44    0.003    0.000    0.007    0.000 __init__.py:355(namedtuple)
    10471    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      631    0.003    0.000    0.005    0.000 typing.py:1587(__hash__)
     1006    0.003    0.000    0.003    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       76    0.003    0.000    0.008    0.000 __init__.py:1622(_substitute)
       44    0.003    0.000    0.005    0.000 _base.py:67(__set_name__)
     1284    0.003    0.000    0.003    0.000 transforms.py:1769(__init__)
      583    0.003    0.000    0.015    0.000 {method 'all' of 'numpy.ndarray' objects}
6678/6152    0.003    0.000    0.005    0.000 artist.py:315(stale)
      710    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:124(setdefault)
      501    0.002    0.000    0.004    0.000 shape_base.py:81(atleast_2d)
 1971/382    0.002    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
      649    0.002    0.000    0.003    0.000 contextlib.py:104(__init__)
     4515    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
      626    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2762    0.002    0.000    0.003    0.000 __init__.py:100(check_in_list)
     8054    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
     1000    0.002    0.000    0.019    0.000 fromnumeric.py:3369(prod)
     7500    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
      501    0.002    0.000    0.011    0.000 fromnumeric.py:2611(all)
      710    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      710    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
      568    0.002    0.000    0.003    0.000 transforms.py:179(set_children)
      508    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      511    0.002    0.000    0.002    0.000 {built-in method builtins.print}
     9764    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
   389/14    0.002    0.000    1.035    0.074 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      252    0.002    0.000    0.004    0.000 artist.py:179(__init__)
