Lattice-Size,Runtime-Average,Runtime-STD
25,0.021701431274414061,0.000322382990630071
50,0.070762729644775396,0.000279321895039098
75,0.158188629150390614,0.000602620650445845
100,0.270269966125488259,0.000641522092639867
200,1.083269548416137651,0.002908897809486393
300,2.504837369918823331,0.006928913945887845
400,4.380946111679077326,0.023338418941276615
500,6.616504049301147106,0.138491052563864403
600,9.530077028274536843,0.016285536382828071
700,13.483758831024170277,0.440792582923567045
800,18.016566181182859907,0.032677668280550021
900,22.958943414688111062,0.041189676330595941
1000,28.648720788955689187,0.438000374333169351
