lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.326, Time: 1.281241 s
         1839736 function calls (1807021 primitive calls) in 2.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1553    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:124(setdefault)
      853    0.004    0.000    0.008    0.000 enum.py:383(__setitem__)
       96    0.004    0.000    2.158    0.022 __init__.py:1(<module>)
     8052    0.003    0.000    0.008    0.000 enum.py:713(__call__)
 2722/860    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
    17097    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      859    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     5935    0.003    0.000    0.039    0.000 __init__.py:174(search)
     2251    0.003    0.000    0.010    0.000 abstract.py:49(_intern)
      106    0.003    0.000    0.264    0.002 artist.py:158(_update_set_signature_and_docstring)
      248    0.003    0.000    0.344    0.001 cpu.py:60(load_additional_registries)
   859/46    0.003    0.000    1.381    0.030 <frozen importlib._bootstrap>:911(_load_unlocked)
25026/24593    0.003    0.000    0.003    0.000 {built-in method builtins.hash}
     1086    0.003    0.000    0.046    0.000 extending.py:129(decorate)
4365/2115    0.003    0.000    0.009    0.000 <frozen abc>:121(__subclasscheck__)
    34021    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
    10246    0.003    0.000    0.005    0.000 _parser.py:261(get)
      881    0.003    0.000    0.197    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
    11800    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
    13513    0.003    0.000    0.003    0.000 _parser.py:240(__next)
  950/307    0.003    0.000    0.045    0.000 _parser.py:452(_parse_sub)
     4653    0.003    0.000    0.004    0.000 {built-in method builtins.sorted}
      852    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
    25648    0.002    0.000    0.002    0.000 abstract.py:96(key)
     1553    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:162(__enter__)
     4812    0.002    0.000    0.004    0.000 {built-in method builtins.max}
    17623    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     5989    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      769    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       66    0.002    0.000    0.020    0.000 enum.py:515(__new__)
     1553    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
      114    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     7169    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
   769/45    0.002    0.000    1.380    0.031 <frozen importlib._bootstrap_external>:989(exec_module)
        3    0.002    0.001    0.002    0.001 {built-in method _pickle.load}
     1538    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     4006    0.002    0.000    0.007    0.000 event.py:209(broadcast)
     1817    0.002    0.000    0.004    0.000 typing.py:1169(__setattr__)
     3370    0.002    0.000    0.005    0.000 event.py:243(notify)
     2911    0.002    0.000    0.007    0.000 castgraph.py:39(insert)
     6808    0.002    0.000    0.004    0.000 {method 'add' of 'set' objects}
     2003    0.002    0.000    0.007    0.000 event.py:404(end_event)
      635    0.002    0.000    0.004    0.000 typing.py:1587(__hash__)
3375/3195    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     4802    0.002    0.000    0.004    0.000 {built-in method builtins.issubclass}
     2477    0.002    0.000    0.005    0.000 target_extension.py:53(get_local_target)
      307    0.002    0.000    0.005    0.000 _compiler.py:511(_compile_info)
     8045    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
     2003    0.002    0.000    0.007    0.000 event.py:390(start_event)
     8360    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
  859/852    0.002    0.000    0.059    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
  2161/57    0.002    0.000    1.382    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2703    0.002    0.000    0.003    0.000 cbook.py:468(_strip_comment)
     2307    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     3995    0.002    0.000    0.002    0.000 inspect.py:3062(<genexpr>)
      494    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
     5645    0.002    0.000    0.002    0.000 typing.py:1577(<genexpr>)
4003/3754    0.002    0.000    0.002    0.000 abstract.py:124(__eq__)
     5748    0.002    0.000    0.003    0.000 _parser.py:176(append)
       19    0.002    0.000    0.002    0.000 arrayprint.py:1668(_guarded_repr_or_str)
     1086    0.002    0.000    0.002    0.000 extending.py:62(overload)
        1    0.002    0.002    0.006    0.006 lebwohl_lasher_p_numba.py:149(save_data)
     3321    0.002    0.000    0.158    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1553    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
     6453    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
      852    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
       24    0.002    0.000    0.003    0.000 util.py:209(_collapse_string_to_ranges)
        2    0.002    0.001    0.037    0.019 rules.py:1(<module>)
     3698    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      277    0.001    0.000    0.004    0.000 typing.py:262(_collect_parameters)
     2383    0.001    0.000    0.003    0.000 typing.py:1117(_is_dunder)
      307    0.001    0.000    0.081    0.000 _compiler.py:740(compile)
     7978    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      983    0.001    0.000    0.003    0.000 inspect.py:747(unwrap)
   662/72    0.001    0.000    1.197    0.017 {built-in method builtins.__import__}
       67    0.001    0.000    0.001    0.000 colors.py:1133(reversed)
      266    0.001    0.000    0.011    0.000 typing.py:1223(__init__)
     1984    0.001    0.000    0.005    0.000 base.py:368(insert_func_defn)
      885    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
      769    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1332    0.001    0.000    0.002    0.000 cpu_options.py:131(__init__)
     4006    0.001    0.000    0.003    0.000 event.py:100(__init__)
     7557    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      886    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      248    0.001    0.000    0.027    0.000 context.py:723(load_additional_registries)
      852    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1227    0.001    0.000    0.001    0.000 context.py:524(insert_function)
      534    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
      294    0.001    0.000    0.001    0.000 __init__.py:396(__getitem__)
     5788    0.001    0.000    0.002    0.000 _parser.py:256(match)
     1065    0.001    0.000    0.002    0.000 enum.py:837(__setattr__)
        1    0.001    0.001    0.002    0.002 header.py:1(<module>)
     5536    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      769    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1534    0.001    0.000    0.002    0.000 templates.py:1258(register_global)
     1553    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
     1576    0.001    0.000    0.002    0.000 context.py:492(_insert_global)
     5988    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     4018    0.001    0.000    0.002    0.000 event.py:66(_guard_kind)
     5988    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     4186    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      700    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      307    0.001    0.000    0.047    0.000 _parser.py:969(parse)
      897    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:416(__enter__)
      287    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
      614    0.001    0.000    0.002    0.000 enum.py:1541(__and__)
     4910    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
1324/1191    0.001    0.000    0.002    0.000 {method 'format' of 'str' objects}
       28    0.001    0.000    0.007    0.000 typing.py:2758(__new__)
      673    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     3549    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      769    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     1754    0.001    0.000    0.008    0.000 ffi.py:77(__enter__)
     3076    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
      886    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      656    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1928    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
      252    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
     1754    0.001    0.000    0.008    0.000 ffi.py:83(__exit__)
      445    0.001    0.000    0.004    0.000 copy.py:61(copy)
     3549    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      511    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       94    0.001    0.000    0.014    0.000 __init__.py:1447(_preprocess_data)
      772    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1243    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1339    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
     2977    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
   306/12    0.001    0.000    0.006    0.000 core.py:806(_parseNoCache)
     3171    0.001    0.000    0.002    0.000 abstract.py:127(__ne__)
     7746    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      923    0.001    0.000    0.001    0.000 enum.py:772(__delattr__)
     3025    0.001    0.000    0.001    0.000 _parser.py:293(tell)
