lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.365, Time: 6.711746 s
         7901459 function calls (7561971 primitive calls) in 12.662 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16135    0.013    0.000    0.024    0.000 values.py:564(_get_reference)
      766    0.013    0.000    0.013    0.000 {built-in method _io.open_code}
    26875    0.013    0.000    0.266    0.000 ir.py:354(list_vars)
        2    0.013    0.006    0.013    0.006 {built-in method _ctypes.dlopen}
     1208    0.013    0.000    0.194    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
    14964    0.013    0.000    0.034    0.000 contextlib.py:299(helper)
4104/1899    0.013    0.000    0.103    0.000 context.py:407(install_registry)
    54195    0.013    0.000    0.013    0.000 {method 'values' of 'dict' objects}
      525    0.012    0.000    0.059    0.000 context.py:615(resolve_overload)
     3861    0.012    0.000    0.040    0.000 context.py:565(_rate_arguments)
       10    0.012    0.001    0.012    0.001 {built-in method posix.mkdir}
 2296/308    0.012    0.000    0.028    0.000 _compiler.py:37(_compile)
      918    0.012    0.000    0.015    0.000 analysis.py:81(def_reach)
14960/13541    0.012    0.000    0.114    0.000 contextlib.py:141(__exit__)
     1050    0.011    0.000    0.043    0.000 analysis.py:235(compute_cfg_from_blocks)
    73276    0.011    0.000    0.011    0.000 abstract.py:96(key)
4576/4552    0.011    0.000    0.060    0.000 abstract.py:61(__call__)
    20649    0.011    0.000    0.134    0.000 base.py:1246(enter_fn)
    20649    0.011    0.000    0.171    0.000 base.py:1249(exit_fn)
    33119    0.010    0.000    0.050    0.000 templates.py:1322(new_registrations)
     1988    0.010    0.000    0.015    0.000 inspect.py:3015(__init__)
    16159    0.010    0.000    0.016    0.000 builder.py:351(_insert)
     8352    0.010    0.000    0.107    0.000 __init__.py:280(_compile)
    23917    0.010    0.000    0.017    0.000 ir.py:1293(find_insts)
14960/13518    0.010    0.000    0.142    0.000 contextlib.py:132(__enter__)
    22406    0.010    0.000    0.010    0.000 {method 'acquire' of '_thread.RLock' objects}
      414    0.010    0.000    0.400    0.001 cpu.py:60(load_additional_registries)
    40751    0.010    0.000    0.010    0.000 _utils.py:13(is_used)
2254/1475    0.010    0.000    3.578    0.002 templates.py:705(_get_impl)
     4149    0.009    0.000    0.017    0.000 functions.py:78(add_error)
4755/2972    0.009    0.000    3.663    0.001 templates.py:356(apply)
     4383    0.009    0.000    0.097    0.000 builder.py:968(extract_value)
    10879    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
     4383    0.009    0.000    0.017    0.000 instructions.py:708(descr)
        8    0.009    0.001    0.009    0.001 {built-in method _pickle.load}
    19477    0.009    0.000    0.023    0.000 {built-in method builtins.issubclass}
    28872    0.009    0.000    0.012    0.000 utils.py:484(sublist_iterator)
     3312    0.009    0.000    0.044    0.000 base.py:352(install_registry)
    34024    0.009    0.000    0.009    0.000 {method 'rstrip' of 'str' objects}
      822    0.008    0.000    0.012    0.000 analysis.py:91(liveness)
   172/96    0.008    0.000    2.169    0.023 lowering.py:266(lower_block)
10185/10013    0.008    0.000    0.029    0.000 {built-in method builtins.any}
       42    0.008    0.000    0.035    0.001 interpreter.py:986(peep_hole_delete_with_exit)
      378    0.008    0.000    0.410    0.001 postproc.py:71(run)
    15730    0.008    0.000    0.132    0.000 ir.py:611(list_vars)
      880    0.008    0.000    0.221    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    826/1    0.008    0.000   12.669   12.669 {built-in method builtins.exec}
    81/75    0.008    0.000    0.018    0.000 {built-in method _imp.exec_dynamic}
     1086    0.008    0.000    0.026    0.000 templates.py:887(make_overload_template)
22204/16190    0.008    0.000    0.026    0.000 <frozen abc>:121(__subclasscheck__)
     4081    0.008    0.000    0.023    0.000 types.py:84(__call__)
        8    0.008    0.001    0.008    0.001 {built-in method posix.unlink}
6839/6791    0.008    0.000    0.020    0.000 values.py:445(__init__)
      378    0.008    0.000    0.011    0.000 analysis.py:190(compute_live_variables)
     1362    0.008    0.000    0.028    0.000 byteflow.py:324(dispatch)
     6589    0.008    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       84    0.008    0.000    0.178    0.002 registry.py:54(apply)
     6519    0.008    0.000    0.011    0.000 typeinfer.py:899(__getitem__)
      871    0.007    0.000    0.022    0.000 instructions.py:68(__init__)
     1768    0.007    0.000    0.039    0.000 context.py:286(find_matching_getattr_template)
      658    0.007    0.000    0.078    0.000 npydecl.py:92(generic)
     5553    0.007    0.000    0.116    0.000 module.py:220(__next__)
     1538    0.007    0.000    0.025    0.000 <frozen importlib._bootstrap>:304(acquire)
        8    0.007    0.001    0.007    0.001 {method 'close' of '_io.BufferedRandom' objects}
     1456    0.007    0.000    0.254    0.000 values.py:1172(descr)
  740/283    0.007    0.000    4.167    0.015 typeinfer.py:568(resolve)
     7105    0.007    0.000    0.038    0.000 ffi.py:334(close)
     4735    0.007    0.000    0.008    0.000 values.py:860(__init__)
