Lattice-Size,Runtime-Average,Runtime-STD
25,0.015125989913940430,0.000108423689778265
50,0.025511598587036131,0.000069303093280734
75,0.043571519851684573,0.001779083063054946
100,0.066485786437988276,0.001650085933540866
200,0.231620168685913091,0.021257350288890552
300,0.490262556076049794,0.006818961063160431
400,0.845257377624511697,0.008070452565580932
500,1.299781084060668945,0.003016953937844917
600,1.852529811859130904,0.003651846411349163
700,2.533992528915405273,0.005538527867670473
800,3.290883159637451261,0.010198278571869569
900,4.190628004074096857,0.012418853201145762
1000,5.157214927673339666,0.030396925864060849
