Lattice-Size,Runtime-Average,Runtime-STD
25,0.012123584747314453,0.001083075990701022
50,0.027646112442016601,0.000052277839106758
75,0.053163814544677737,0.000802420946433349
100,0.089101600646972659,0.001632614093571323
200,0.340377855300903309,0.004586887235197526
300,0.735697937011718706,0.002702733478421545
400,1.296515417098998979,0.004270474580435999
500,2.028236770629882724,0.012161021557369592
600,2.898260545730590998,0.014836005938881425
700,3.929732227325439364,0.009252406982316282
800,5.208498954772949219,0.092791848358084850
900,6.404326295852660778,0.172840439409917251
1000,7.622905874252319691,0.045899608674863930
