Lattice-Size,Runtime-Average,Runtime-STD
25,0.025114297866821289,0.003126494755032661
50,0.033007287979125978,0.001054928535647437
75,0.045934343338012697,0.000397653733065514
100,0.084440374374389643,0.025090430413331359
200,0.197355699539184581,0.009902359468140885
300,0.428148508071899414,0.040384684033941055
400,0.734198951721191428,0.052589738959592638
500,1.151289939880371094,0.037349355408828264
600,1.600458765029907138,0.019579117108901537
700,2.136504173278808594,0.032549128822586412
800,2.808318424224853338,0.057442770777819452
900,3.509733438491821289,0.057479800046141033
1000,4.336854028701782049,0.095342136513326986
