Lattice-Size,Runtime-Average,Runtime-STD
25,0.012186622619628907,0.000371052102348605
50,0.038386106491088867,0.000452128937091676
75,0.081567859649658209,0.001162536204865682
100,0.138037919998168945,0.002843370802252161
200,0.545436334609985307,0.002380707914489656
300,1.227180862426757724,0.004650386775230842
400,2.159669923782348455,0.002751680856756537
500,3.357364606857299982,0.006859145362241650
600,4.847630262374877930,0.038034346272914535
700,6.478832817077636363,0.118761609692620382
800,8.316133785247803445,0.087016885152111451
900,10.501645231246948597,0.027044352321962145
1000,13.012172651290892844,0.091723187732039482
