Lattice-Size,Runtime-Average,Runtime-STD
25,0.018086576461791994,0.000224926195221715
50,0.063864517211914065,0.001140118776031278
75,0.138537549972534174,0.002915133094205741
100,0.248521471023559565,0.003978107244103335
200,0.992386579513549805,0.006179891958467514
300,2.232549381256103693,0.006996653204581548
400,3.944038248062133878,0.010969406717660054
500,6.185740947723388672,0.055818944579903315
600,8.646629285812377219,0.144945881827194506
700,11.647349500656128285,0.019459137930861726
800,15.247689199447631125,0.021124481937840278
900,18.338545703887938032,0.281122774730989400
1000,22.428534078598023171,0.079494185910922527
