Lattice-Size,Runtime-Average,Runtime-STD
25,0.020692682266235350,0.000341160395290143
50,0.069489765167236331,0.000618342165994506
75,0.154203939437866200,0.000900192674271732
100,0.259142065048217796,0.005658993089936127
200,1.001715564727783114,0.002113416007499870
300,2.336490440368652166,0.002622379568175433
400,4.099894905090332387,0.032730746287070643
500,6.308841991424560369,0.016375705751801629
600,9.470750951766968129,0.121184800745973972
700,12.069523668289184215,0.013460800512020291
800,15.810091495513916016,0.258808140100581618
900,19.543876600265502219,0.028675022913679484
1000,24.248688602447508345,0.078455823440893635
