run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.349, Time: 4.292119 s
         1122328 function calls (1106011 primitive calls) in 5.252 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7298    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      501    0.002    0.000    0.002    0.000 _linalg.py:198(_assert_stacked_square)
       24    0.002    0.000    0.004    0.000 util.py:209(_collapse_string_to_ranges)
4550/1002    0.002    0.000    0.002    0.000 __init__.py:354(recursive_subclasses)
      790    0.002    0.000    0.003    0.000 inspect.py:747(unwrap)
 1713/195    0.002    0.000    0.005    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.002    0.002    0.006    0.006 run_lebwohl_lasher_p_cython.py:153(save_data)
       89    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     2703    0.002    0.000    0.003    0.000 cbook.py:468(_strip_comment)
    335/5    0.002    0.000    0.947    0.189 <frozen importlib._bootstrap>:911(_load_unlocked)
     7080    0.002    0.000    0.002    0.000 {method '__contains__' of 'frozenset' objects}
      137    0.002    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
      319    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     5079    0.002    0.000    0.003    0.000 _parser.py:261(get)
      345    0.001    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
     3277    0.001    0.000    0.002    0.000 inspect.py:3062(<genexpr>)
1435/1255    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      335    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     6166    0.001    0.000    0.001    0.000 _parser.py:240(__next)
  429/205    0.001    0.000    0.024    0.000 _parser.py:452(_parse_sub)
        1    0.001    0.001    0.013    0.013 helpers.py:1(<module>)
     1623    0.001    0.000    0.003    0.000 typing.py:1169(__setattr__)
      671    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      501    0.001    0.000    0.001    0.000 _linalg.py:192(_assert_stacked_2d)
       42    0.001    0.000    0.011    0.000 enum.py:515(__new__)
     3356    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      445    0.001    0.000    0.005    0.000 copy.py:61(copy)
      356    0.001    0.000    0.004    0.000 inspect.py:798(_finddoc)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
  128/117    0.001    0.000    0.044    0.000 _docstring.py:122(__call__)
      507    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
      671    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      205    0.001    0.000    0.042    0.000 _compiler.py:740(compile)
     5534    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      434    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      694    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
     5702    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      238    0.001    0.000    0.001    0.000 core.py:457(__init__)
      504    0.001    0.000    0.001    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
      100    0.001    0.000    0.013    0.000 pyplot.py:209(_add_pyplot_note)
      618    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     1002    0.001    0.000    0.002    0.000 _linalg.py:142(_realType)
      511    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       32    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
       94    0.001    0.000    0.016    0.000 __init__.py:1447(_preprocess_data)
      504    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       64    0.001    0.000    0.007    0.000 deprecation.py:414(make_keyword_only)
      631    0.001    0.000    0.002    0.000 typing.py:1587(__hash__)
   306/12    0.001    0.000    0.006    0.001 core.py:806(_parseNoCache)
      410    0.001    0.000    0.002    0.000 enum.py:1541(__and__)
      286    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     3493    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
    286/4    0.001    0.000    0.928    0.232 <frozen importlib._bootstrap_external>:989(exec_module)
      205    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
     2299    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2171    0.001    0.000    0.002    0.000 typing.py:1117(_is_dunder)
     2640    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      236    0.001    0.000    0.007    0.000 typing.py:1223(__init__)
       19    0.001    0.000    0.001    0.000 arrayprint.py:1668(_guarded_repr_or_str)
      265    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      501    0.001    0.000    0.001    0.000 _linalg.py:1236(_eigvalsh_dispatcher)
      977    0.001    0.000    0.026    0.000 __init__.py:748(__setitem__)
      572    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      241    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
        1    0.001    0.001    0.001    0.001 ipaddress.py:383(_IPAddressBase)
      205    0.001    0.000    0.025    0.000 _parser.py:969(parse)
     1674    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      227    0.001    0.000    0.086    0.000 artist.py:1413(__init__)
       21    0.001    0.000    0.006    0.000 typing.py:2758(__new__)
      186    0.001    0.000    0.010    0.000 colors.py:324(_to_rgba_no_colorcycle)
        3    0.001    0.000    0.044    0.015 core.py:1(<module>)
