run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.368, Time: 1.215564 s
         1116328 function calls (1100011 primitive calls) in 2.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.004    0.004 getlimits.py:166(_register_known_types)
       67    0.001    0.000    0.001    0.000 colors.py:1133(reversed)
     7080    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      137    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
      345    0.001    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
     6166    0.001    0.000    0.001    0.000 _parser.py:240(__next)
     5079    0.001    0.000    0.002    0.000 _parser.py:261(get)
     5534    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
        1    0.001    0.001    0.005    0.005 run_lebwohl_lasher_p_cython.py:153(save_data)
      335    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1623    0.001    0.000    0.002    0.000 typing.py:1169(__setattr__)
      671    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
    335/5    0.001    0.000    1.068    0.214 <frozen importlib._bootstrap>:911(_load_unlocked)
      631    0.001    0.000    0.002    0.000 typing.py:1587(__hash__)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
  429/205    0.001    0.000    0.020    0.000 _parser.py:452(_parse_sub)
     5702    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      286    0.001    0.000    0.144    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      434    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
     3277    0.001    0.000    0.001    0.000 inspect.py:3062(<genexpr>)
       24    0.001    0.000    0.002    0.000 util.py:209(_collapse_string_to_ranges)
      977    0.001    0.000    0.028    0.000 __init__.py:748(__setitem__)
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       42    0.001    0.000    0.009    0.000 enum.py:515(__new__)
     3356    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      501    0.001    0.000    0.002    0.000 _linalg.py:148(_commonType)
1435/1255    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       32    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      790    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
      241    0.001    0.000    0.003    0.000 typing.py:262(_collect_parameters)
      694    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
      286    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      205    0.001    0.000    0.003    0.000 _compiler.py:511(_compile_info)
      236    0.001    0.000    0.007    0.000 typing.py:1223(__init__)
 1713/195    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
     2640    0.001    0.000    0.001    0.000 _parser.py:176(append)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      205    0.001    0.000    0.035    0.000 _compiler.py:740(compile)
     2171    0.001    0.000    0.002    0.000 typing.py:1117(_is_dunder)
    286/4    0.001    0.000    1.033    0.258 <frozen importlib._bootstrap_external>:989(exec_module)
        2    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
      511    0.001    0.000    0.001    0.000 {built-in method builtins.print}
     5621    0.001    0.000    0.001    0.000 typing.py:1577(<genexpr>)
       64    0.001    0.000    0.005    0.000 deprecation.py:414(make_keyword_only)
      618    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      356    0.001    0.000    0.003    0.000 inspect.py:798(_finddoc)
      572    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.001    0.001    0.001    0.001 _twodim_base_impl.py:163(eye)
     2220    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2299    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        6    0.001    0.000    0.002    0.000 getlimits.py:34(__init__)
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:633(column_stack)
      186    0.001    0.000    0.012    0.000 colors.py:324(_to_rgba_no_colorcycle)
      265    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
        3    0.001    0.000    0.059    0.020 core.py:1(<module>)
      445    0.001    0.000    0.003    0.000 copy.py:61(copy)
   827/11    0.001    0.000    1.064    0.097 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     8968    0.001    0.000    0.001    0.000 inspect.py:2782(name)
        8    0.001    0.000    0.002    0.000 enum.py:1682(convert_class)
      100    0.001    0.000    0.010    0.000 pyplot.py:209(_add_pyplot_note)
   404/45    0.001    0.000    0.870    0.019 <frozen importlib._bootstrap>:1390(_handle_fromlist)
  335/329    0.001    0.000    0.159    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      806    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
       84    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
      858    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1039    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
       94    0.001    0.000    0.011    0.000 __init__.py:1447(_preprocess_data)
   306/12    0.001    0.000    0.005    0.000 core.py:806(_parseNoCache)
      238    0.001    0.000    0.001    0.000 core.py:457(__init__)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:432(_sanity_check)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.001    0.001    0.001    0.001 ipaddress.py:383(_IPAddressBase)
      503    0.001    0.000    0.002    0.000 _ufunc_config.py:441(__enter__)
      501    0.001    0.000    0.001    0.000 _linalg.py:123(_makearray)
       21    0.001    0.000    0.004    0.000 typing.py:2758(__new__)
      410    0.001    0.000    0.001    0.000 enum.py:1541(__and__)
     2640    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
  297/232    0.001    0.000    0.015    0.000 typing.py:378(inner)
  128/117    0.001    0.000    0.032    0.000 _docstring.py:122(__call__)
      205    0.001    0.000    0.021    0.000 _parser.py:969(parse)
      660    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      462    0.001    0.000    0.013    0.000 colors.py:277(to_rgba)
      504    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
     1376    0.001    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      227    0.001    0.000    0.067    0.000 artist.py:1413(__init__)
        1    0.001    0.001    0.002    0.002 dviread.py:1(<module>)
      456    0.001    0.000    0.015    0.000 artist.py:1530(number_of_parameters)
      230    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      311    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
     3493    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     2881    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.001    0.001    0.001    0.001 _type_aliases.py:1(<module>)
     5527    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1515    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.001    0.001    0.007    0.007 helpers.py:1(<module>)
      105    0.001    0.000    0.251    0.002 artist.py:125(__init_subclass__)
        1    0.001    0.001    0.004    0.004 _array_like.py:1(<module>)
      984    0.001    0.000    0.012    0.000 artist.py:1536(is_alias)
      356    0.001    0.000    0.001    0.000 inspect.py:788(_findclass)
      455    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
   416/17    0.001    0.000    0.873    0.051 {built-in method builtins.__import__}
     3061    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      725    0.001    0.000    0.026    0.000 inspect.py:3067(from_callable)
      681    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
     2660    0.001    0.000    0.001    0.000 _parser.py:256(match)
      120    0.001    0.000    0.200    0.002 artist.py:1832(kwdoc)
     2389    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
     7467    0.001    0.000    0.001    0.000 inspect.py:2794(kind)
     2409    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.001    0.001    0.025    0.025 run_lebwohl_lasher_p_cython.py:49(init_lattice)
       19    0.001    0.000    0.001    0.000 arrayprint.py:1668(_guarded_repr_or_str)
      286    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      306    0.000    0.000    0.001    0.000 results.py:153(__new__)
        7    0.000    0.000    0.003    0.000 enum.py:906(_convert_)
      330    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
   274/19    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
      509    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
      110    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      113    0.000    0.000    0.004    0.000 rcsetup.py:99(f)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      671    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      725    0.000    0.000    0.027    0.000 inspect.py:3325(signature)
     2686    0.000    0.000    0.001    0.000 util.py:201(__call__)
     1390    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      501    0.000    0.000    0.000    0.000 _linalg.py:198(_assert_stacked_square)
      467    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      445    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
      634    0.000    0.000    0.000    0.000 enum.py:772(__delattr__)
     1805    0.000    0.000    0.001    0.000 inspect.py:371(isfunction)
     2409    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      426    0.000    0.000    0.014    0.000 rcsetup.py:332(validate_color)
      623    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.536    0.536 pyplot.py:1(<module>)
      348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      445    0.000    0.000    0.003    0.000 core.py:519(copy)
      321    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      504    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     1002    0.000    0.000    0.001    0.000 _linalg.py:142(_realType)
     1444    0.000    0.000    0.001    0.000 _parser.py:293(tell)
       39    0.000    0.000    0.005    0.000 colors.py:1080(from_list)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     1144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       39    0.000    0.000    0.002    0.000 colors.py:418(to_rgba_array)
      267    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      348    0.000    0.000    0.001    0.000 __init__.py:103(find_spec)
      689    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
      450    0.000    0.000    0.002    0.000 __init__.py:179(sub)
     1236    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      548    0.000    0.000    0.001    0.000 typing.py:1159(__getattr__)
     1299    0.000    0.000    0.000    0.000 __init__.py:678(_set)
       91    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
