lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.368, Time: 11.546142 s
         2352399 function calls (2288376 primitive calls) in 13.533 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      782    0.004    0.000    0.008    0.000 enum.py:383(__setitem__)
      245    0.004    0.000    0.005    0.000 templates.py:1166(make_overload_attribute_template)
       20    0.004    0.000    0.030    0.002 analysis.py:23(compute_use_defs)
    17273    0.004    0.000    0.006    0.000 utils.py:484(sublist_iterator)
      160    0.004    0.000    0.075    0.000 functions.py:281(get_call_type)
     1166    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     6153    0.004    0.000    0.006    0.000 {built-in method builtins.sorted}
      106    0.004    0.000    0.318    0.003 artist.py:158(_update_set_signature_and_docstring)
     1507    0.004    0.000    0.004    0.000 {built-in method numpy.zeros}
10256/9997    0.004    0.000    0.005    0.000 abstract.py:124(__eq__)
    13426    0.004    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
    23345    0.004    0.000    0.004    0.000 {method 'extend' of 'list' objects}
     7920    0.004    0.000    0.009    0.000 enum.py:713(__call__)
     5929    0.004    0.000    0.046    0.000 __init__.py:174(search)
      257    0.004    0.000    0.206    0.001 cpu.py:60(load_additional_registries)
    13641    0.004    0.000    0.006    0.000 {method 'add' of 'set' objects}
    10548    0.004    0.000    0.005    0.000 {built-in method builtins.setattr}
       31    0.004    0.000    0.035    0.001 __init__.py:884(_rc_params_in_file)
     1000    0.004    0.000    0.014    0.000 fromnumeric.py:69(_wrapreduction)
        4    0.004    0.001    0.004    0.001 {built-in method posix.mkdir}
   669/45    0.004    0.000    1.361    0.030 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
8250/4784    0.004    0.000    0.010    0.000 <frozen abc>:121(__subclasscheck__)
     1200    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    13426    0.004    0.000    0.013    0.000 <frozen abc>:117(__instancecheck__)
    32942    0.004    0.000    0.004    0.000 abstract.py:96(key)
      501    0.003    0.000    0.017    0.000 _linalg.py:204(_assert_finite)
     1844    0.003    0.000    0.004    0.000 numpy_support.py:362(ufunc_can_cast)
      230    0.003    0.000    0.008    0.000 overrides.py:83(verify_matching_signatures)
      182    0.003    0.000    0.011    0.000 numpy_support.py:380(ufunc_find_matching_loop)
      501    0.003    0.000    0.006    0.000 fromnumeric.py:89(_wrapreduction_any_all)
    34056    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     1200    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
     1200    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2684    0.003    0.000    0.012    0.000 abstract.py:49(_intern)
      501    0.003    0.000    0.005    0.000 _linalg.py:148(_commonType)
    12946    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      501    0.003    0.000    0.005    0.000 shape_base.py:81(atleast_2d)
    15256    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     9270    0.003    0.000    0.008    0.000 {built-in method builtins.issubclass}
     1086    0.003    0.000    0.068    0.000 extending.py:129(decorate)
       66    0.003    0.000    1.862    0.028 __init__.py:1(<module>)
   642/45    0.003    0.000    1.353    0.030 <frozen importlib._bootstrap>:911(_load_unlocked)
     8364    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
        3    0.003    0.001    0.003    0.001 {method 'readlines' of '_io._IOBase' objects}
4964/2309    0.003    0.000    0.017    0.000 _utils.py:44(__str__)
      642    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      657    0.003    0.000    0.160    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
        2    0.003    0.001    0.003    0.001 {built-in method posix.unlink}
      636    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     4526    0.003    0.000    0.004    0.000 {built-in method builtins.max}
      631    0.002    0.000    0.005    0.000 typing.py:1587(__hash__)
    18242    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     3022    0.002    0.000    0.007    0.000 target_extension.py:53(get_local_target)
      490    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
     2911    0.002    0.000    0.009    0.000 castgraph.py:39(insert)
     1396    0.002    0.000    0.014    0.000 values.py:544(_to_string)
     2014    0.002    0.000    0.008    0.000 event.py:390(start_event)
     1200    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1083    0.002    0.000    0.002    0.000 {built-in method builtins.print}
     4028    0.002    0.000    0.008    0.000 event.py:209(broadcast)
     3282    0.002    0.000    0.005    0.000 event.py:243(notify)
      583    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      200    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
      493    0.002    0.000    0.012    0.000 targetconfig.py:197(values)
     7913    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
     2014    0.002    0.000    0.009    0.000 event.py:404(end_event)
      107    0.002    0.000    0.012    0.000 context.py:615(resolve_overload)
      950    0.002    0.000    0.008    0.000 context.py:565(_rate_arguments)
     1200    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
     1001    0.002    0.000    0.004    0.000 inspect.py:747(unwrap)
      431    0.002    0.000    0.007    0.000 utils.py:306(order_by_target_specificity)
      501    0.002    0.000    0.014    0.000 {method 'all' of 'numpy.ndarray' objects}
      501    0.002    0.000    0.008    0.000 fromnumeric.py:2611(all)
     1777    0.002    0.000    0.004    0.000 typing.py:1169(__setattr__)
     1166    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
 1390/459    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
      117    0.002    0.000    0.015    0.000 typing.py:673(Union)
3663/3483    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     5610    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      503    0.002    0.000    0.005    0.000 _ufunc_config.py:441(__enter__)
     4584    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
        2    0.002    0.001    0.002    0.001 {method 'close' of '_io.BufferedRandom' objects}
      501    0.002    0.000    0.003    0.000 _linalg.py:123(_makearray)
     6509    0.002    0.000    0.003    0.000 ir.py:1293(find_insts)
     5621    0.002    0.000    0.002    0.000 typing.py:1577(<genexpr>)
3694/3674    0.002    0.000    0.005    0.000 _utils.py:54(get_reference)
     1341    0.002    0.000    0.008    0.000 instructions.py:13(__init__)
     6334    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
