lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.304, Time: 10.626370 s
         2528314 function calls (2454257 primitive calls) in 12.550 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7336    0.004    0.000    0.010    0.000 event.py:243(notify)
11029/10765    0.004    0.000    0.005    0.000 abstract.py:124(__eq__)
2690/2685    0.004    0.000    0.024    0.000 abstract.py:61(__call__)
        4    0.004    0.001    0.004    0.001 {built-in method posix.unlink}
     5836    0.004    0.000    0.014    0.000 event.py:209(broadcast)
      167    0.004    0.000    0.077    0.000 functions.py:281(get_call_type)
     1162    0.004    0.000    0.008    0.000 functools.py:35(update_wrapper)
     6511    0.004    0.000    0.006    0.000 {built-in method builtins.sorted}
    17501    0.004    0.000    0.006    0.000 utils.py:484(sublist_iterator)
     2080    0.004    0.000    0.022    0.000 base.py:352(install_registry)
    53/50    0.004    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
    16375    0.004    0.000    0.006    0.000 {method 'add' of 'set' objects}
     1166    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
7333/3301    0.004    0.000    0.026    0.000 _utils.py:44(__str__)
        4    0.004    0.001    0.004    0.001 {method 'close' of '_io.BufferedRandom' objects}
      782    0.004    0.000    0.007    0.000 enum.py:383(__setitem__)
      245    0.004    0.000    0.004    0.000 templates.py:1166(make_overload_attribute_template)
       31    0.004    0.000    0.032    0.001 __init__.py:884(_rc_params_in_file)
        4    0.004    0.001    0.004    0.001 {built-in method _pickle.load}
      116    0.003    0.000    0.012    0.000 context.py:615(resolve_overload)
    10574    0.003    0.000    0.005    0.000 {built-in method builtins.setattr}
     2084    0.003    0.000    0.021    0.000 values.py:544(_to_string)
     7973    0.003    0.000    0.008    0.000 enum.py:713(__call__)
      260    0.003    0.000    0.173    0.001 cpu.py:60(load_additional_registries)
     5929    0.003    0.000    0.039    0.000 __init__.py:174(search)
     9523    0.003    0.000    0.009    0.000 {built-in method builtins.issubclass}
    15975    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
    13632    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      184    0.003    0.000    0.010    0.000 numpy_support.py:380(ufunc_find_matching_loop)
      106    0.003    0.000    0.261    0.002 artist.py:158(_update_set_signature_and_docstring)
    34160    0.003    0.000    0.003    0.000 abstract.py:96(key)
     1000    0.003    0.000    0.011    0.000 fromnumeric.py:69(_wrapreduction)
    34079    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
        3    0.003    0.001    0.003    0.001 {method 'readlines' of '_io._IOBase' objects}
     1872    0.003    0.000    0.003    0.000 numpy_support.py:362(ufunc_can_cast)
     1200    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
       66    0.003    0.000    1.540    0.023 __init__.py:1(<module>)
     1200    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1998    0.003    0.000    0.011    0.000 instructions.py:13(__init__)
     2702    0.003    0.000    0.011    0.000 abstract.py:49(_intern)
   669/45    0.003    0.000    1.161    0.026 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
5465/5440    0.003    0.000    0.008    0.000 _utils.py:54(get_reference)
    14219    0.003    0.000    0.014    0.000 <frozen abc>:117(__instancecheck__)
     2918    0.003    0.000    0.012    0.000 event.py:390(start_event)
     2918    0.003    0.000    0.014    0.000 event.py:404(end_event)
     1200    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     8364    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
      501    0.003    0.000    0.004    0.000 _linalg.py:148(_commonType)
     1158    0.003    0.000    0.010    0.000 base.py:103(_match_arglist)
     1507    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
      501    0.003    0.000    0.004    0.000 shape_base.py:81(atleast_2d)
      642    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1086    0.002    0.000    0.063    0.000 extending.py:129(decorate)
      501    0.002    0.000    0.005    0.000 fromnumeric.py:89(_wrapreduction_any_all)
      501    0.002    0.000    0.012    0.000 _linalg.py:204(_assert_finite)
   642/45    0.002    0.000    1.154    0.026 <frozen importlib._bootstrap>:911(_load_unlocked)
    81/27    0.002    0.000    0.558    0.021 compiler_machinery.py:267(_runPass)
      180    0.002    0.000    0.018    0.000 npydecl.py:92(generic)
     3081    0.002    0.000    0.006    0.000 target_extension.py:53(get_local_target)
      520    0.002    0.000    0.012    0.000 targetconfig.py:197(values)
     1200    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1324    0.002    0.000    0.002    0.000 {built-in method builtins.print}
    18487    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     2708    0.002    0.000    0.004    0.000 _utils.py:24(deduplicate)
     5836    0.002    0.000    0.005    0.000 event.py:100(__init__)
      454    0.002    0.000    0.007    0.000 utils.py:306(order_by_target_specificity)
     7053    0.002    0.000    0.003    0.000 ir.py:1293(find_insts)
      200    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
     7966    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
3787/3607    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
  880/865    0.002    0.000    0.003    0.000 values.py:455(_get_reference)
     2911    0.002    0.000    0.007    0.000 castgraph.py:39(insert)
     1777    0.002    0.000    0.004    0.000 typing.py:1169(__setattr__)
      657    0.002    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
      988    0.002    0.000    0.008    0.000 context.py:565(_rate_arguments)
 1390/459    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
        9    0.002    0.000    0.008    0.001 postproc.py:179(_patch_var_dels)
     4542    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      636    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      631    0.002    0.000    0.004    0.000 typing.py:1587(__hash__)
  381/205    0.002    0.000    0.227    0.001 lowering.py:455(lower_inst)
      583    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     5848    0.002    0.000    0.003    0.000 event.py:66(_guard_kind)
     4638    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
       27    0.002    0.000    0.004    0.000 analysis.py:118(compute_dead_maps)
     8185    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
       95    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     4652    0.002    0.000    0.040    0.000 ir.py:354(list_vars)
     2819    0.002    0.000    0.009    0.000 values.py:557(_set_name)
     2753    0.002    0.000    0.010    0.000 values.py:537(__init__)
     1200    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
       60    0.002    0.000    0.017    0.000 enum.py:515(__new__)
        1    0.002    0.002    0.002    0.002 {method 'close' of '_io.TextIOWrapper' objects}
     2065    0.002    0.000    0.002    0.000 contextlib.py:104(__init__)
     1574    0.002    0.000    0.003    0.000 context.py:492(_insert_global)
     2819    0.002    0.000    0.007    0.000 _utils.py:16(register)
     8932    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
     5610    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     6367    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     5621    0.002    0.000    0.002    0.000 typing.py:1577(<genexpr>)
      468    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
     5876    0.002    0.000    0.003    0.000 _parser.py:261(get)
     2492    0.002    0.000    0.013    0.000 ffi.py:77(__enter__)
      501    0.002    0.000    0.006    0.000 fromnumeric.py:2611(all)
     1000    0.002    0.000    0.013    0.000 fromnumeric.py:3369(prod)
     1166    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
   583/45    0.002    0.000    1.153    0.026 <frozen importlib._bootstrap_external>:989(exec_module)
     4065    0.002    0.000    0.002    0.000 inspect.py:3062(<genexpr>)
      860    0.002    0.000    0.003    0.000 functions.py:78(add_error)
     7139    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     3668    0.002    0.000    0.002    0.000 event.py:270(on_end)
     2703    0.002    0.000    0.003    0.000 cbook.py:468(_strip_comment)
     2492    0.002    0.000    0.015    0.000 ffi.py:83(__exit__)
2308/2291    0.002    0.000    0.005    0.000 {built-in method builtins.any}
     1013    0.002    0.000    0.003    0.000 inspect.py:747(unwrap)
      501    0.002    0.000    0.002    0.000 _linalg.py:123(_makearray)
      921    0.002    0.000    0.042    0.000 templates.py:356(apply)
     1355    0.001    0.000    0.004    0.000 weakref.py:414(__getitem__)
